자료분류,파일명,파일명_id,첨부파일경로,기사제목,기사/파일경로,"첨부
파일",Key Words,Key takeaways,Viewpoint,페이스북Group,작성일자,작성자명
Daily News Briefing,Daily_News_Briefing_180327,20180327001,DNB.ZIP,최고의 마셜아츠 스트리밍 플랫폼이 되려는 One Champion,http://www.yonhapnews.co.kr/stock/2018/03/19/1309000000AKR20180319032200008.HTML,-,"#OneChampion, #마셜아츠콘텐츠스트리밍앱, #SequoiaIndia, #Temasek","싱가포르의 무술 방송사인 One Champion이 5월 초 영화와 경기를 포함한 마셜 아츠 콘텐츠 스트리밍 앱을 출시할 예정임. One Champion은 Sequoia India와 Temasek이 투자한 미디어로, 기술적 지원이 이어질 것으로 보임.",무술 / 무예 경기는 몇 분 안에 끝나는 경기로 모바일 스트리밍에 적합한 콘텐츠이며 매니아층 역시 늘어나고 있어 성장이 기대됨. 마샬아츠 뿐만 아니라 분야별 전문성을 갖춘 스트리밍 서비스가 증가할 것으로 보임.,DNB room,20180327,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180327,20180327001,DNB.ZIP,닌자 아사카사 : 실제로 도쿄에서 맛있는 음식을 제공하는 테마 레스토랑,http://ko.favy-jp.com/topics/1805,-,"#닌자아카사카, #닌자레스토랑","'닌자 아카사카'는 현대에 부활한 닌자 저택이라는 컨셉으로 수준급의 셰프들이 일본요리, 프랑스요리, 중화요리 등의 요리를 퓨전하여 제공함. 또한 요리에는 엔터테인먼트적인 요소도 포함되어 식사의 맛과 즐거움도 함께 제공함.",독특한 공간에서 식사를 즐길 수 있는 테마파크와 같은 레스토랑이 여행하는 시간을 최대로 활용하고 싶은 외국인에게도 큰 인기를 얻고 있음.,DNB room,20180327,Jonghyeuk Yoon
Daily News Briefing,Daily_News_Briefing_180327,20180327001,DNB.ZIP,"텐센트, 알리바바, 아시아 투자 지형 바꾼다",http://www.etoday.co.kr/news/section/newsview.php?idxno=1607412,-,"#텐센트, #알리바바",텐센트와 알리바바는 풍부한 자본과 장기적인 관점으로 아시아 태평양 지역의 스타트업에 투자하고 있음. 현재 두 기업은 스타트업에 투자되는 투자액의 60% 이상을 투자하고 있음.,"인도, 인도네시아 등의 중국 외의 지역에서 스타트업에 대한 투자도 활발해지고 있음. 투자의 증가로 인한 시장 성장의 기대감도 증가하고 있으나, 거대 자본시장에 진입하지 못한 스타트업들의 사례도 급증하며, 외국 자본에 대한 보호주의적인 정책 진행 여부에 대한 모니터링이 필요하다고 사료됨.",DNB room,20180327,Moojin Choi
Daily News Briefing,Daily_News_Briefing_180327,20180327001,DNB.ZIP,"글로벌 승차공유 시장 주무르는 '손정의'… 우버 동남아 사업, 그랩에 매각",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=015&aid=0003914048&lfrom=facebook,-,"#우버, #그랩, #소프트뱅크, #동남아사업매각","26일, 우버는 동남아 사업 전부를 그랩에 매각하기로 공식발표함. 이번 매각은 우버와 그랩의 최대주주인 소프트뱅크가 지역별로 사업을 분할하여 출혈경쟁을 막고 자율주행 시장 경쟁을 본격화하기 위한 의도로 풀이되고 있음.",소프트뱅크의 큰 그림은 모빌리티 플랫폼을 기반으로 한 자율주행자동차 시장임. 2016에는 영국 암(ARM)을 인수해 자율주행 반도체 설계 부문에 진출한 바 있음. 운행데이터를 기반으로 한 승차공유업체와 구글과 같은 IT기업의 자율주행차 경쟁이 본격화될 것으로 보임.,DNB room,20180327,Jeongeun Go
Daily News Briefing,Daily_News_Briefing_180327,20180327001,DNB.ZIP,매년 200명 초대받는 아마존의 비밀 사교클럽,http://news.mt.co.kr/mtview.php?no=2018032609404312657,-,"#아마존, #MARS, #Campfire, #비공개연례행사","아마존 CEO가 지난 19일부터 사흘간 비공개 연례 컨퍼런스인 'MARS(Machine-Learning Automation, Robotics & Space Exploration)'를 개최함. 한편, 아마존의 또 다른 비공개 연례행사로 2010년 부터 시작된 문화콘텐츠 창작자 대상의 'Campfire'도 있음.","아마존의 MARS와 Campfire의 목적은 결국 아이디어의 '수분(pollination)'임. 당사도, 인재풀 확보와 네트워크 형성을 위해 각종 분야 및 직급을 떠난 다양한 사교모임을 추진해 볼 수 있음.
*MARS: 첨단 기술산업과 관련된 각계 저명인사를 초청해 가벼운 대화부터 심도 있는 프레젠테이션 및 토론에 이르기까지 아이디어를 나누는 비공개 연례 컨퍼런스. 또한, 다양한 체험활동(네이비씰 훈련, 도끼 제작, 곡예비행 등)도 이뤄짐.",DNB room,20180327,Sangyoon Kim
Daily News Briefing,Daily_News_Briefing_180326.pdf,20180326001,DNB.ZIP,"밀레니얼을 위한 CNBC인 Cheddar, $22M 투자 유치",https://www.wsj.com/articles/cheddar-the-cnbc-for-millennials-raises-22-million-for-international-expansion-1521487261,-,"#Cheddar, #Snapchat Discover, #채널런칭",밀레니얼을 위한 금융 뉴스 스트리밍 서비스인 Cheddar가 영국으로 확장하고 Snapchat Discover에 채널을 런칭하기 위해 $22M의 투자를 유치함. 이로써 Cheddar의 가치는 $160M으로 추산됨.,"Cheddar는 버즈피드의 전 CEO가 출시한 서비스로, 어려운 경제 관련 뉴스들을 쉽게 풀어내 가치를 인정받고 있음. 우리 역시 이러한 콘텐츠를 참고해 젊은 세대를 위한 쉽고 재밌는 금융 콘텐츠를 제작할 수 있을 것으로 보임.",DNB room,20180326,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180326.pdf,20180326001,DNB.ZIP,왜 동남아의 큰 스타트업들은 핀테크로 옮겨갈까?,https://www.techinasia.com/talk/big-names-moving-fintech,-,"#Grab, #AirAsia","지난주, Grab와 AirAsia가 금융 서비스에 진출함. 결제 플랫폼은 다양한 서비스와 결합되어 크로스 셀링을 높이고 고객들에게는 일종의 로열티 프로그램의 역할을 함. 마이크로랜딩과 같은 대출 서비스는 궁극적으로 큰 수익과 연결될 수 있음.","중국, 동남아의 대형 스타트업들이 앞다투어 핀테크 영역에 참여하고 있음. 이 지역은 unbanked 고객이 많아 플랫폼 사업자들이 금융에 성공적으로 안착할 가능성이 높으므로 지속적으로 관심을 가지고 살펴봐야 할 필요가 있음.",DNB room,20180326,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180326.pdf,20180326001,DNB.ZIP,TV에서 모바일로 옮긴 ‘생방송 퀴즈쇼’,http://itdaily.kr/news/articleView.html?idxno=88039,-,"#퀴즈앱, #잼라이브, #Let'sKwiz, #더퀴즈라이브","실시간으로 퀴즈쇼에 참가해 상금을 획득할 수 있는 모바일 생방송 퀴즈앱이 돌풍을 일으키고 있음. 특히 이번달 네이버 스노우가 출시한 '잼라이브' 앱은 동시 접속자 5만명을 넘기고 있음. 이밖에도 콰이는 'Let's Kwiz'를, 캐시슬라이드를 운영하는 NBT는 '더 퀴즈 라이브'를 출시함","모바일 퀴즈쇼는 중국, 미국 등 해외에서 먼저 열풍을 보였음. 간편하게 참여할 수 있고 경우에 따라 큰 상금을 현금화할 수 있다는 점에서 지금의 큰 호응이 한동안 이어질 것으로 보임.",DNB room,20180326,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180326.pdf,20180326001,DNB.ZIP,새 먹거리 찾아 ‘모바일상품권’ 시장 뛰어든 카드업계,http://www.asiatoday.co.kr/view.php?key=20180323010013109,-,"#모바일상품권, #카드업계","비금융권의 전유물로 취급되어온 ‘모바일 상품권’ 사업에 신한카드, 롯데카드 등 주요 카드사들이 잇따라 사업을 진행하고 있음. 모바일 상품권 시장은 최근 카드업계가 가맹점 수수료 등에서 악화를 겪어 신사업으로서 진출하기 시작했으며, 결제 편의성이 증가함에 따라 동시에 성장하고 있음. 
*모바일 상품권: 스마트폰 앱으로 구입해 문자메세지, 메신저 등을 통해 주고 받는 선불식 전자 상품권","모바일 상품권 시장은 2012년 1084억원에 불과했으나, 2017년 1조2000억원으로 5년 만에 10배로 급증하는 등 빠른 성장세를 보이고 있음. 당사는 해당 시장에 컨텐츠 제공의 직접적인 시장 참여 혹은 시장 분석 방안에 대해 검토해볼 필요가 있음.",DNB room,20180326,Moojin Choi
Daily News Briefing,Daily_News_Briefing_180326.pdf,20180326001,DNB.ZIP,인도.. 온라인 식품배달 성장잠재력 주목,http://www.fnnews.com/news/201803251741355681,-,"#소프트뱅크, #그로퍼스, #인도식품배달","일본의 소프트 뱅크가 인도 온라인 식품 관련 스타트업인 그로퍼스에 40억루피(약 657억원)를 투자하기로 함. 한편 알리바바는 인도 온라인 레스토랑 검색 및 식품 배달 스타트업 조마토에 1607억원을 투자한 가운데, 인도 식품 배달 시장 선점을 위한 경쟁이 치열해질 것으로 보임.","인도는 식품배달산업 규모는 2016년 대비 3배가량 성장할 것으로 예상되지만, 온라인 배달 주문은 전체 배달의 2%에 불과해 성장 잠재력이 큼. 식품 배달과 함께 관련 플랫폼이 성장할 것으로 예상됨에 따라, 포스트 차이나라고 불리는 인도시장에 대한 투자 방안을 검토해볼 수 있음.",DNB room,20180326,Jungeun Go
